Frame 	 Stimulus
000181 	 -3dotD2_dir45
000451 	 gratW12.5_dir90
000721 	 gratW2_dir45
000991 	 -1dotD2_dir270
001261 	 +1dotD2_dir135
001531 	 +3dotD2_dir180
001801 	 +1dotD2_dir45
002071 	 -3dotD2_dir315
002341 	 gratW2_dir270
002611 	 gratW12.5_dir0
002881 	 +3dotD2_dir45
003151 	 -1dotD2_dir45
003421 	 -1dotD2_dir0
003691 	 +1dotD2_dir0
003961 	 +3dotD2_dir0
004231 	 gratW12.5_dir225
004501 	 gratW2_dir90
004771 	 -3dotD2_dir180
005041 	 gratW2_dir0
005311 	 -1dotD2_dir135
005581 	 +3dotD2_dir225
005851 	 +1dotD2_dir315
006121 	 -3dotD2_dir135
006391 	 gratW12.5_dir180
006661 	 +3dotD2_dir90
006931 	 gratW12.5_dir135
007201 	 +1dotD2_dir180
007471 	 -3dotD2_dir0
007741 	 gratW2_dir225
008011 	 -1dotD2_dir180
008281 	 gratW2_dir135
008551 	 +3dotD2_dir315
008821 	 +1dotD2_dir225
009091 	 gratW12.5_dir270
009361 	 -1dotD2_dir225
009631 	 -3dotD2_dir270
009901 	 -1dotD2_dir315
010171 	 gratW2_dir180
010441 	 +3dotD2_dir270
010711 	 -3dotD2_dir225
010981 	 +1dotD2_dir270
011251 	 gratW12.5_dir45
011521 	 +1dotD2_dir90
011791 	 -1dotD2_dir90
012061 	 gratW2_dir315
012331 	 gratW12.5_dir315
012601 	 +3dotD2_dir135
012871 	 -3dotD2_dir90
