Frame 	 Stimulus
000181 	 gratW12.5_dir90
000451 	 -1dotD2_dir45
000721 	 +3dotD2_dir180
000991 	 -3dotD2_dir90
001261 	 +1dotD2_dir315
001531 	 gratW2_dir90
001801 	 +3dotD2_dir270
002071 	 +1dotD2_dir270
002341 	 gratW12.5_dir315
002611 	 gratW2_dir0
002881 	 -1dotD2_dir225
003151 	 -3dotD2_dir225
003421 	 +3dotD2_dir315
003691 	 gratW12.5_dir180
003961 	 gratW2_dir45
004231 	 +1dotD2_dir45
004501 	 -3dotD2_dir0
004771 	 -1dotD2_dir180
005041 	 gratW2_dir315
005311 	 gratW12.5_dir45
005581 	 +1dotD2_dir225
005851 	 -3dotD2_dir45
006121 	 -1dotD2_dir315
006391 	 +3dotD2_dir135
006661 	 -1dotD2_dir135
006931 	 +1dotD2_dir135
007201 	 gratW12.5_dir225
007471 	 gratW2_dir180
007741 	 +3dotD2_dir45
008011 	 -3dotD2_dir315
008281 	 gratW12.5_dir135
008551 	 +3dotD2_dir0
008821 	 -1dotD2_dir270
009091 	 -3dotD2_dir180
009361 	 +1dotD2_dir180
009631 	 gratW2_dir270
009901 	 -1dotD2_dir90
010171 	 +3dotD2_dir225
010441 	 -3dotD2_dir270
010711 	 +1dotD2_dir90
010981 	 gratW2_dir135
011251 	 gratW12.5_dir270
011521 	 gratW12.5_dir0
011791 	 -3dotD2_dir135
012061 	 -1dotD2_dir0
012331 	 gratW2_dir225
012601 	 +1dotD2_dir0
012871 	 +3dotD2_dir90
