Frame 	 Stimulus
000181 	 -3dotD2_dir45
000451 	 gratW12.5_dir90
000721 	 gratW2_dir45
000991 	 -1dotD2_dir270
001261 	 +1dotD2_dir135
001531 	 +3dotD2_dir180
001801 	 +1dotD2_dir45
002071 	 -3dotD2_dir315
002341 	 gratW2_dir270
002611 	 gratW12.5_dir0
002881 	 +3dotD2_dir45
003151 	 -1dotD2_dir45
003421 	 -1dotD2_dir0
003691 	 +1dotD2_dir0
003961 	 +3dotD2_dir0
004231 	 gratW12.5_dir225
004501 	 gratW2_dir90
004771 	 -3dotD2_dir180
005041 	 gratW2_dir0
005311 	 -1dotD2_dir135
005581 	 +3dotD2_dir225
005851 	 +1dotD2_dir315
006121 	 -3dotD2_dir135
006391 	 gratW12.5_dir180
006661 	 +3dotD2_dir90
006931 	 gratW12.5_dir135
007201 	 +1dotD2_dir180
007471 	 -3dotD2_dir0
007741 	 gratW2_dir225
008011 	 -1dotD2_dir180
008281 	 gratW2_dir135
008551 	 +3dotD2_dir315
008821 	 +1dotD2_dir225
009091 	 gratW12.5_dir270
009361 	 -1dotD2_dir225
009631 	 -3dotD2_dir270
009901 	 -1dotD2_dir315
010171 	 gratW2_dir180
010441 	 +3dotD2_dir270
010711 	 -3dotD2_dir225
010981 	 +1dotD2_dir270
011251 	 gratW12.5_dir45
011521 	 +1dotD2_dir90
011791 	 -1dotD2_dir90
012061 	 gratW2_dir315
012331 	 gratW12.5_dir315
012601 	 +3dotD2_dir135
012871 	 -3dotD2_dir90
013141 	 gratW12.5_dir90
013411 	 -1dotD2_dir45
013681 	 +3dotD2_dir180
013951 	 -3dotD2_dir90
014221 	 +1dotD2_dir315
014491 	 gratW2_dir90
014761 	 +3dotD2_dir270
015031 	 +1dotD2_dir270
015301 	 gratW12.5_dir315
015571 	 gratW2_dir0
015841 	 -1dotD2_dir225
016111 	 -3dotD2_dir225
016381 	 +3dotD2_dir315
016651 	 gratW12.5_dir180
016921 	 gratW2_dir45
017191 	 +1dotD2_dir45
017461 	 -3dotD2_dir0
017731 	 -1dotD2_dir180
018001 	 gratW2_dir315
018271 	 gratW12.5_dir45
018541 	 +1dotD2_dir225
018811 	 -3dotD2_dir45
019081 	 -1dotD2_dir315
019351 	 +3dotD2_dir135
019621 	 -1dotD2_dir135
019891 	 +1dotD2_dir135
020161 	 gratW12.5_dir225
020431 	 gratW2_dir180
020701 	 +3dotD2_dir45
020971 	 -3dotD2_dir315
021241 	 gratW12.5_dir135
021511 	 +3dotD2_dir0
021781 	 -1dotD2_dir270
022051 	 -3dotD2_dir180
022321 	 +1dotD2_dir180
022591 	 gratW2_dir270
022861 	 -1dotD2_dir90
023131 	 +3dotD2_dir225
023401 	 -3dotD2_dir270
023671 	 +1dotD2_dir90
023941 	 gratW2_dir135
024211 	 gratW12.5_dir270
024481 	 gratW12.5_dir0
024751 	 -3dotD2_dir135
025021 	 -1dotD2_dir0
025291 	 gratW2_dir225
025561 	 +1dotD2_dir0
025831 	 +3dotD2_dir90
